지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
최대값,130,207,181,156,144,136,171,363,314,378,223,75,209,127,130,141,92,71,97,99,124,116,173,76,84,66,90,65,76,123
,(00시 삼천동),(15시 모현동),(18시 팔봉동),(06시 팔봉동),(10시 남중동),(17시 중앙동(전주)),(00시 죽항동),(01시 부안군),(11시 중앙동(전주)),(14시 모현동),(00시 모현동),(14시 소룡동),(14시 개정동),(00시 모현동),(17시 모현동),(12시 중앙동(전주)),(00시 삼천동),(11시 남중동),(10시 남중동),(23시 팔봉동),(03시 남중동),(11시 부안군),(08시 팔봉동),(07시 모현동),(09시 모현동),(18시 남중동),(18시 고창읍),(17시 삼천동),(15시 남중동),(13시 개정동)
[전북 고창군],57,91,102,58,53,57,34,160,190,230,29,31,57,33,32,50,33,28,35,34,30,21,18,17,23,-,49,19,20,-
고창읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전북 군산시],66,97,99,94,77,69,56,206,174,189,50,34,78,56,54,70,45,38,46,54,52,42,39,37,46,33,39,34,32,-
개정동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전북 군산시],67,86,89,93,76,64,54,233,173,204,45,38,71,44,43,71,46,37,49,51,48,41,35,36,42,28,38,33,29,-
소룡동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전북 군산시],69,92,95,92,77,65,55,220,182,214,46,35,71,49,42,72,45,38,52,53,49,43,38,37,44,30,42,33,32,-
신풍동(군산),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전북 김제시],67,98,111,94,77,67,57,187,175,198,50,33,68,47,47,61,46,34,46,46,50,39,38,36,42,34,40,26,27,-
요촌동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전북 남원시],67,78,95,47,59,60,39,145,114,140,37,33,59,45,48,56,41,29,30,47,45,33,35,31,35,36,41,27,22,-
죽항동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전북 부안군],68,99,105,99,80,70,55,207,183,237,44,32,66,38,44,65,40,33,50,51,51,45,37,39,41,-,29,32,28,-
부안군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전북 익산시],94,121,130,120,104,89,75,205,184,210,68,45,93,68,67,75,58,49,58,65,72,60,54,52,61,50,58,43,51,-
남중동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전북 익산시],97,132,134,120,102,92,76,231,211,243,73,45,89,69,67,79,61,49,64,70,70,59,53,50,61,44,-,-,-,-
모현동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전북 익산시],92,119,126,119,97,76,62,201,185,219,66,37,81,61,61,70,55,44,55,69,69,52,57,43,54,39,49,-,-,-
팔봉동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전북 전주시],77,104,119,85,84,70,48,174,172,197,67,40,70,53,57,72,57,39,49,54,57,46,42,39,43,39,52,44,37,-
삼천동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전북 전주시],86,114,137,94,82,81,63,204,197,225,75,38,84,53,69,78,59,42,49,57,60,45,42,40,48,46,55,39,38,-
중앙동(전주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전북 전주시],53,74,85,76,61,55,42,150,145,176,55,27,56,45,43,49,37,26,38,58,48,35,30,33,37,29,36,28,26,-
팔복동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전북 정읍시],61,100,108,79,65,60,41,173,166,203,35,34,64,40,47,60,36,30,38,42,40,31,23,27,29,-,42,25,21,-
연지동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
